name,gameplayMain,gameplayMainExtra,gameplayCompletionist,imageUrl,id
ARK Survival Evolved,148,212,161,https://howlongtobeat.com/games/ARK_Survival_Evolved_header.jpg,26629
Minecraft,123,314,225,https://howlongtobeat.com/games/256px-Minecraft_1.1_Title.png,6064
NBA 2K20,101,0,0,https://howlongtobeat.com/games/68855_NBA_2K20.jfif,68855
Black Desert,72,0,0,https://howlongtobeat.com/games/Black_Desert_Online.jpg,30340
My Time At Portia,67,97.5,143,https://howlongtobeat.com/games/52787_My_Time_At_Portia.jpg,52787
DayZ,65.5,6,77,https://howlongtobeat.com/games/DayZ_Standalone_Logo.jpg,2290
The Bards Tale IV Directors Cut,56,59.5,81.5,https://howlongtobeat.com/games/69339_The_Bards_Tale_IV_Directors_Cut.jpg,69339
The Witcher 3 Wild Hunt,51,102,172,https://howlongtobeat.com/games/256px-TW3_Wild_Hunt_logo.png,10270
Age of Wonders Planetfall,48,0,0,https://howlongtobeat.com/games/59880_Age_of_Wonders_Planetfall.jpg,59880
Red Dead Redemption 2,47.5,77,163,https://howlongtobeat.com/games/27100_Red_Dead_Redemption_2.png,27100
Kingdom Come Deliverance,40.5,73.5,123,https://howlongtobeat.com/games/Kingdom-Come-Deliverance.jpg,21697
Wasteland 2,39.5,63.5,105,https://howlongtobeat.com/games/Wasteland2art.jpg,11099
Farming Simulator 17,37,150,486,https://howlongtobeat.com/games/40668_Farming_Simulator_17.jpg,40668
Age of Empires II Definitive Edition,34.5,100,196,https://howlongtobeat.com/games/68260_Age_of_Empires_II_Definitive_Edition.jfif,68260
Age of Empires II Definitive Edition,34.5,100,196,https://howlongtobeat.com/games/68260_Age_of_Empires_II_Definitive_Edition.jfif,68260
Phoenix Point,33.5,75.5,0,https://howlongtobeat.com/games/53702_Phoenix_Point.jpg,53702
MISTOVER,33.5,37.5,85,https://howlongtobeat.com/games/71153_MISTOVER.jpg,71153
CrossCode,32,48,78,https://howlongtobeat.com/games/crosscode_indie.png,24970
Yakuza 0,31,65,139,https://howlongtobeat.com/games/43056_Yakuza_0.jpg,43056
Battle Chasers Nightwar,29,41.5,64.5,https://howlongtobeat.com/games/Battle_Chasers_Nightwar_download.jpg,30017
Fallout New Vegas,27.5,59.5,128,https://howlongtobeat.com/games/Fallout_New_Vegas.jpg,3351
Subnautica,27.5,44,56.5,https://howlongtobeat.com/games/Subnautica_header.jpg,23740
Torment Tides of Numenera,26,33,48.5,https://howlongtobeat.com/games/TormentToNcover.jpg,10533
Payday 2 Crimewave Edition,24.5,90.5,0,https://howlongtobeat.com/games/44402_Payday_2_Crimewave_Edition.jpg,44402
The Bards Tale Trilogy,24,49,129,https://howlongtobeat.com/games/59950_The_Bards_Tale_Trilogy.jpg,59950
Ashes Cricket,23,0,37,https://howlongtobeat.com/games/60882_Ashes_Cricket.jpg,60882
Metal Gear Survive,22,32,49.5,https://howlongtobeat.com/games/40116_Metal_Gear_Survive.jpg,40116
The Surge 2,21.5,25.5,37.5,https://howlongtobeat.com/games/67880_The_Surge_2.jpg,67880
We Happy Few,21,42,75,https://howlongtobeat.com/games/We_Happy_Few_logo.jpg,27102
The Hunter Call of the Wild,20.5,90,130,https://howlongtobeat.com/games/43633_theHunter_Call_of_the_Wild.jpg,43633
Stellaris,20.5,46.5,62.5,https://howlongtobeat.com/games/37186_Stellaris.jpg,37186
Enter the Gungeon,20.5,46,159,https://howlongtobeat.com/games/35549_Enter_the_Gungeon.jpg,35549
Wargroove,20,38.5,73,https://howlongtobeat.com/games/61653_Wargroove.jpg,61653
Surviving Mars,18.5,44.5,146,https://howlongtobeat.com/games/45951_Surviving_Mars.jpg,45951
Viva Piata,18.5,32,51,https://howlongtobeat.com/games/250px-Viva_pinyata.jpg,10976
Alien Isolation,18.5,23,32,https://howlongtobeat.com/games/Alien_Isolation.jpg,16638
Rise of Nations Extended Edition,18,39,62.5,https://howlongtobeat.com/games/RiseofNationsExtendedEdition_292x136.jpg,19796
Yakuza Kiwami,18,33,84.5,https://howlongtobeat.com/games/39484_Ryu_ga_Gotoku_Kiwami.jpg,39484
The Long Dark,17.5,43.5,148,https://howlongtobeat.com/games/The_Long_Dark_header.jpg,21471
Grid 2,17.5,21,28.5,https://howlongtobeat.com/games/250px-Grid_2_box_artwork.png,4117
Mass Effect,17,28.5,44.5,https://howlongtobeat.com/games/Mass_Effect_poster.jpg,5698
Imperator Rome,17,0,120,https://howlongtobeat.com/games/59970_Imperator_Rome.jpg,59970
BanjoTooie,16,23,23.5,https://howlongtobeat.com/games/250px-Banjo-Tooie_Coverart.png,837
Disneyland Adventures,16,20,28.5,https://howlongtobeat.com/games/Disneyland_Adventures.jpg,4994
Spintires MudRunner,15.5,22,37,https://howlongtobeat.com/games/50209_Spintires_MudRunner.jpg,50209
The Talos Principle,15.5,20.5,27.5,https://howlongtobeat.com/games/TheTalosPrinciple.jpg,22530
Astroneer,15,37.5,56,https://howlongtobeat.com/games/42182_Astroneer.jpg,42182
Outer Wilds,15,20,22,https://howlongtobeat.com/games/57527_Outer_Wilds.jpg,57527
Metro Exodus,14.5,22.5,36,https://howlongtobeat.com/games/46401_Metro_Exodus.jpg,46401
Worms WMD,14.5,17,24.5,https://howlongtobeat.com/games/39481_Worms_WMD.jpg,39481
Mega Man Legacy Collection 2,14.5,0,0,https://howlongtobeat.com/games/48058_Mega_Man_Legacy_Collection_2.jpg,48058
Moonlighter,14,20,25.5,https://howlongtobeat.com/games/56787_Moonlighter.jpg,56787
Zoo Tycoon Ultimate Animal Collection,14,15,82,https://howlongtobeat.com/games/52069_Zoo_Tycoon_Ultimate_Animal_Collection.jpg,52069
Remnant From the Ashes,13.5,19.5,47,https://howlongtobeat.com/games/68318_Remnant_From_the_Ashes.jpg,68318
Children of Morta,13.5,16,28.5,https://howlongtobeat.com/games/Children-of-Morta.jpg,22534
The Walking Dead  A Telltale Games Series,13.5,0,0,https://howlongtobeat.com/games/The_Walking_Dead-game-cover.jpg,10250
Dead Cells,13,26,84.5,https://howlongtobeat.com/games/45727_Dead_Cells.jpg,45727
Mutant Year Zero Road to Eden,13,17,21.5,https://howlongtobeat.com/games/62811_Mutant_Year_Zero_Road_to_Eden.jpg,62811
FTL Faster Than Light,12,29.5,116,https://howlongtobeat.com/games/FTL_Faster_Than_Light_Logo.jpg,3738
The Outer Worlds,12,24,35,https://howlongtobeat.com/games/62935_The_Outer_Worlds.jpg,62935
Doom 2016,11.5,16,25.5,https://howlongtobeat.com/games/doom_2016.jpg,2708
Slay the Spire,11,41,227,https://howlongtobeat.com/games/51390_Slay_the_Spire.jpg,51390
Ori and the Will of the Wisps,11,14.5,17,https://howlongtobeat.com/games/46428_Ori_and_the_Will_of_the_Wisps.jpg,46428
BanjoKazooie,11,14.5,15,https://howlongtobeat.com/games/250px-BanjoKazooieCover500px.jpg,834
The Banner Saga,10.5,13.5,26.5,https://howlongtobeat.com/games/The_Banner_Saga.jpg,9769
Gears 5,10.5,13.5,18,https://howlongtobeat.com/games/57422_Gears_5.jpg,57422
Frostpunk,10,20.5,40.5,https://howlongtobeat.com/games/41585_Frostpunk.jpg,41585
Sunset Overdrive,10,18.5,33.5,https://howlongtobeat.com/games/Sunset_Overdrive_cover.jpg,21278
Rage 2,10,18,29.5,https://howlongtobeat.com/games/58031_Rage_2.jpg,58031
Sniper Elite 4,10,16,35.5,https://howlongtobeat.com/games/40715_Sniper_Elite_4.jpg,40715
